time,event
167.003,"Task UberEats - Berkeley was started with: 18 steps, 56 timeLimit, 58 hardLimit"
169.693,(18) Correct Guess: apple
170.833,(17) Correct Guess: apple
171.853,(16) Correct Guess: apple
174.243,(15) Correct Guess: banana
175.453,(14) Correct Guess: apple
176.553,(13) Correct Guess: apple
177.983,(12) Correct Guess: banana
180.133,(11) Correct Guess: pineapple
181.793,(10) Correct Guess: coconut
183.193,(9) Correct Guess: apple
185.583,(8) Correct Guess: pineapple
187.043,(7) Correct Guess: apple
188.343,(6) Correct Guess: banana
189.653,(5) Correct Guess: apple
191.933,(4) Correct Guess: pineapple
193.673,(3) Correct Guess: coconut
194.813,(2) Correct Guess: apple
196.423,(1) Correct Guess: coconut
196.423,"Ended with: 0 mistakes, 56 earned, 29 in game time passed"
199.413,Rated themselves: 3
199.413,"Entered home screen, displayed jobs: [""i:(0,720) UberEats - SF: 20 waitTime, 21 timeLimit"",""i:(1,4953) Uber - SF: 25 waitTime, 22 timeLimit"",""i:(2,1957) UberEats - Berkeley: 126 waitTime, 40 timeLimit"",""i:(3,4329) Uber - Berkeley: 1 waitTime, 14 timeLimit""]"
200.422,"i:(3,425) Job Uber - Berkeley now available"
219.422,"i:(0,4493) Job UberEats - SF now available"
224.422,"i:(1,3067) Job Uber - SF now available"
225.253,"Task UberEats - SF was started with: 7 steps, 21 timeLimit, 62 hardLimit"
227.623,(7) Correct Guess: banana
228.793,(6) Correct Guess: banana
232.053,(5) Correct Guess: pineapple
233.363,(4) Correct Guess: apple
235.513,(3) Correct Guess: pineapple
237.383,(2) Correct Guess: coconut
238.813,(1) Correct Guess: coconut
238.813,"Ended with: 0 mistakes, 21 earned, 13 in game time passed"
241.353,Rated themselves: 3
241.353,"Entered home screen, displayed jobs: [""i:(0,1561) UberEats - SF: 17 waitTime, 39 timeLimit"",""i:(1,4115) Uber - SF: 2 waitTime, 10 timeLimit"",""i:(2,1357) UberEats - Berkeley: 9 waitTime, 45 timeLimit"",""i:(3,1756) Uber - Berkeley: 45 waitTime, 22 timeLimit""]"
243.372,"i:(1,2424) Job Uber - SF now available"
250.373,"i:(2,4047) Job UberEats - Berkeley now available"
256.172,"Task UberEats - Berkeley was started with: 15 steps, 45 timeLimit, 84 hardLimit"
259.523,(15) Correct Guess: apple
261.533,(14) Correct Guess: coconut
262.933,(13) Correct Guess: banana
264.193,(12) Correct Guess: banana
265.643,(11) Correct Guess: coconut
267.353,(10) Correct Guess: coconut
269.353,(9) Correct Guess: pineapple
270.663,(8) Correct Guess: banana
272.483,(7) Correct Guess: pineapple
273.963,(6) Correct Guess: apple
275.214,(5) Correct Guess: banana
277.033,(4) Correct Guess: pineapple
279.483,(3) Correct Guess: pineapple
280.943,(2) Correct Guess: coconut
282.833,(1) Correct Guess: pineapple
282.833,"Ended with: 0 mistakes, 45 earned, 26 in game time passed"
285.473,Rated themselves: 3
285.473,"Entered home screen, displayed jobs: [""i:(0,1098) UberEats - SF: 14 waitTime, 51 timeLimit"",""i:(1,2433) Uber - SF: 23 waitTime, 18 timeLimit"",""i:(2,2425) UberEats - Berkeley: 28 waitTime, 54 timeLimit"",""i:(3,2345) Uber - Berkeley: 2 waitTime, 21 timeLimit""]"
287.483,"i:(3,448) Job Uber - Berkeley now available"
288.263,"Task Uber - Berkeley was started with: 10 steps, 21 timeLimit, 50 hardLimit"
290.123,(10) Correct Guess: red
291.113,(9) Correct Guess: red
292.013,(8) Correct Guess: red
292.763,(7) Correct Guess: red
294.543,(6) Correct Guess: yellow
296.003,(5) Correct Guess: yellow
297.533,(4) Correct Guess: yellow
299.513,(3) Correct Guess: green
300.533,(2) Correct Guess: red
302.473,(1) Correct Guess: green
302.473,"Ended with: 0 mistakes, 21 earned, 14 in game time passed"
304.953,Rated themselves: 3
304.953,"Entered home screen, displayed jobs: [""i:(0,3906) UberEats - SF: 13 waitTime, 38 timeLimit"",""i:(1,1487) Uber - SF: 7 waitTime, 25 timeLimit"",""i:(2,4262) UberEats - Berkeley: 20 waitTime, 20 timeLimit"",""i:(3,4874) Uber - Berkeley: 5 waitTime, 17 timeLimit""]"
309.962,"i:(3,374) Job Uber - Berkeley now available"
311.963,"i:(1,4840) Job Uber - SF now available"
317.962,"i:(0,1908) Job UberEats - SF now available"
323.603,"Task UberEats - SF was started with: 12 steps, 38 timeLimit, 76 hardLimit"
327.003,(12) Correct Guess: pineapple
329.323,(11) Correct Guess: pineapple
330.803,(10) Correct Guess: coconut
332.133,(9) Correct Guess: banana
334.673,(8) Correct Guess: coconut
336.253,(7) Correct Guess: coconut
337.623,(6) Correct Guess: coconut
339.693,(5) Correct Guess: pineapple
342.363,(4) Correct Guess: pineapple
344.173,(3) Correct Guess: banana
345.853,(2) Correct Guess: coconut
348.323,(1) Correct Guess: pineapple
348.323,"Ended with: 0 mistakes, 38 earned, 24 in game time passed"
350.663,Rated themselves: 3
350.663,"i:(2,2181) Job UberEats - Berkeley now available"
350.663,"Entered home screen, displayed jobs: [""i:(0,1489) UberEats - SF: 6 waitTime, 45 timeLimit"",""i:(1,3011) Uber - SF: 6 waitTime, 23 timeLimit"",""i:(2,2181) UberEats - Berkeley: 0 waitTime, 33 timeLimit"",""i:(3,4710) Uber - Berkeley: 1 waitTime, 15 timeLimit""]"
350.663,"i:(2,1302) Job UberEats - Berkeley now available"
351.683,"i:(3,4809) Job Uber - Berkeley now available"
356.442,"Task UberEats - Berkeley was started with: 11 steps, 33 timeLimit, 72 hardLimit"
359.853,(11) Correct Guess: pineapple
361.413,(10) Correct Guess: coconut
362.853,(9) Correct Guess: banana
364.203,(8) Correct Guess: apple
365.803,(7) Correct Guess: coconut
367.483,(6) Correct Guess: coconut
368.753,(5) Correct Guess: banana
369.863,(4) Correct Guess: banana
370.863,(3) Correct Guess: banana
371.903,(2) Correct Guess: banana
372.893,(1) Correct Guess: banana
372.893,"Ended with: 0 mistakes, 33 earned, 16 in game time passed"
375.563,Rated themselves: 3
375.563,"Entered home screen, displayed jobs: [""i:(0,2918) UberEats - SF: 2 waitTime, 39 timeLimit"",""i:(1,2638) Uber - SF: 7 waitTime, 19 timeLimit"",""i:(2,22) UberEats - Berkeley: 12 waitTime, 53 timeLimit"",""i:(3,1682) Uber - Berkeley: 7 waitTime, 25 timeLimit""]"
377.583,"i:(0,4017) Job UberEats - SF now available"
382.573,"i:(3,3259) Job Uber - Berkeley now available"
382.573,"i:(1,2308) Job Uber - SF now available"
383.153,"Task UberEats - SF was started with: 13 steps, 39 timeLimit, 72 hardLimit"
385.453,(13) Correct Guess: apple
386.493,(12) Correct Guess: apple
388.263,(11) Correct Guess: coconut
389.483,(10) Correct Guess: apple
391.643,(9) Correct Guess: pineapple
393.513,(8) Correct Guess: pineapple
395.393,(7) Correct Guess: pineapple
396.883,(6) Correct Guess: coconut
399.493,(5) Correct Guess: pineapple
400.693,(4) Correct Guess: banana
401.693,(3) Correct Guess: banana
403.723,(2) Correct Guess: pineapple
405.213,"(1) Incorrect Guess: apple, mistyped appe"
406.593,(1) Correct Guess: apple
406.593,"Ended with: 1 mistakes, 39 earned, 23 in game time passed"
409.103,Rated themselves: 2
409.103,"Entered home screen, displayed jobs: [""i:(0,1473) UberEats - SF: 34 waitTime, 35 timeLimit"",""i:(1,726) Uber - SF: 2 waitTime, 19 timeLimit"",""i:(2,4896) UberEats - Berkeley: 13 waitTime, 39 timeLimit"",""i:(3,4466) Uber - Berkeley: 11 waitTime, 25 timeLimit""]"
