time,event
920.583,(8) Correct Guess: banana
921.773,(7) Correct Guess: banana
923.393,(6) Correct Guess: coconut
924.643,"(5) Incorrect Guess: apple, mistyped appl"
925.373,(5) Correct Guess: apple
926.643,(4) Correct Guess: apple
927.893,(3) Correct Guess: banana
929.123,(2) Correct Guess: banana
931.933,(1) Correct Guess: pineapple
931.933,"Ended with: 1 mistakes, 45 earned, 26 in game time passed"
934.943,Rated themselves: 2
934.943,"Entered home screen, displayed jobs: [""i:(0,4044) UberEats - SF: 2 waitTime, 37 timeLimit"",""i:(1,4973) Uber - SF: 9 waitTime, 21 timeLimit"",""i:(2,2017) UberEats - Berkeley: 25 waitTime, 21 timeLimit"",""i:(3,2367) Uber - Berkeley: 18 waitTime, 15 timeLimit""]"
936.953,"i:(0,3615) Job UberEats - SF now available"
937.853,"Task UberEats - SF was started with: 12 steps, 37 timeLimit, 62 hardLimit"
941.173,(12) Correct Guess: banana
942.353,(11) Correct Guess: banana
943.473,(10) Correct Guess: banana
946.013,(9) Correct Guess: pineapple
947.843,(8) Correct Guess: pineapple
949.073,(7) Correct Guess: apple
950.893,(6) Correct Guess: pineapple
952.073,(5) Correct Guess: banana
953.073,(4) Correct Guess: banana
955.723,(3) Correct Guess: pineapple
957.813,(2) Correct Guess: apple
958.913,(1) Correct Guess: apple
958.913,"Ended with: 0 mistakes, 37 earned, 21 in game time passed"
961.953,Rated themselves: 3
961.953,"Entered home screen, displayed jobs: [""i:(0,3703) UberEats - SF: 24 waitTime, 41 timeLimit"",""i:(1,223) Uber - SF: 7 waitTime, 13 timeLimit"",""i:(2,305) UberEats - Berkeley: 5 waitTime, 40 timeLimit"",""i:(3,674) Uber - Berkeley: 4 waitTime, 14 timeLimit""]"
965.963,"i:(3,1508) Job Uber - Berkeley now available"
966.963,"i:(2,4132) Job UberEats - Berkeley now available"
968.963,"i:(1,4408) Job Uber - SF now available"
974.733,"Task Uber - SF was started with: 6 steps, 13 timeLimit, 26 hardLimit"
977.053,(6) Correct Guess: yellow
978.423,(5) Correct Guess: red
980.233,(4) Correct Guess: green
981.893,"(3) Incorrect Guess: yellow, mistyped yello"
983.293,(3) Correct Guess: yellow
984.943,(2) Correct Guess: green
985.984,(1) Correct Guess: red
985.984,"Ended with: 1 mistakes, 13 earned, 11 in game time passed"
988.363,Rated themselves: 1
988.363,"Entered home screen, displayed jobs: [""i:(0,642) UberEats - SF: 61 waitTime, 22 timeLimit"",""i:(1,1499) Uber - SF: 1 waitTime, 18 timeLimit"",""i:(2,817) UberEats - Berkeley: 10 waitTime, 36 timeLimit"",""i:(3,2129) Uber - Berkeley: 4 waitTime, 24 timeLimit""]"
989.373,"i:(1,4255) Job Uber - SF now available"
992.373,"i:(3,3070) Job Uber - Berkeley now available"
998.373,"i:(2,3779) Job UberEats - Berkeley now available"
1049.653,"i:(0,808) Job UberEats - SF now available"
1054.453,"Task UberEats - SF was started with: 7 steps, 22 timeLimit, 80 hardLimit"
1058.413,(7) Correct Guess: pineapple
1059.713,(6) Correct Guess: banana
1061.213,(5) Correct Guess: coconut
1062.433,(4) Correct Guess: banana
1063.783,(3) Correct Guess: coconut
1065.763,(2) Correct Guess: pineapple
1067.203,(1) Correct Guess: coconut
1067.203,"Ended with: 0 mistakes, 22 earned, 12 in game time passed"
1069.923,Rated themselves: 3
1069.923,"Entered home screen, displayed jobs: [""i:(0,4180) UberEats - SF: 19 waitTime, 31 timeLimit"",""i:(1,1483) Uber - SF: 4 waitTime, 17 timeLimit"",""i:(2,1215) UberEats - Berkeley: 13 waitTime, 42 timeLimit"",""i:(3,922) Uber - Berkeley: 3 waitTime, 23 timeLimit""]"
1072.933,"i:(3,1389) Job Uber - Berkeley now available"
1073.933,"i:(1,4636) Job Uber - SF now available"
1082.933,"i:(2,2498) Job UberEats - Berkeley now available"
1088.933,"i:(0,2635) Job UberEats - SF now available"
1090.802,"Task UberEats - SF was started with: 10 steps, 31 timeLimit, 96 hardLimit"
1093.413,(10) Correct Guess: pineapple
1094.873,(9) Correct Guess: coconut
1096.293,(8) Correct Guess: apple
1098.283,(7) Correct Guess: pineapple
1099.753,(6) Correct Guess: coconut
1101.143,(5) Correct Guess: coconut
1103.063,(4) Correct Guess: pineapple
1104.553,(3) Correct Guess: apple
1105.773,(2) Correct Guess: apple
1106.993,(1) Correct Guess: banana
1106.993,"Ended with: 0 mistakes, 31 earned, 16 in game time passed"
1110.053,Rated themselves: 3
1110.053,"Entered home screen, displayed jobs: [""i:(0,38) UberEats - SF: 43 waitTime, 40 timeLimit"",""i:(1,4583) Uber - SF: 21 waitTime, 21 timeLimit"",""i:(2,1173) UberEats - Berkeley: 17 waitTime, 47 timeLimit"",""i:(3,455) Uber - Berkeley: 19 waitTime, 22 timeLimit""]"
1127.063,"i:(2,1360) Job UberEats - Berkeley now available"
1129.062,"i:(3,853) Job Uber - Berkeley now available"
1131.063,"i:(1,197) Job Uber - SF now available"
1153.651,"i:(0,4809) Job UberEats - SF now available"
1200.652,Finished Game
